Programa estratégico,Sistema productivo,Área temática,Nombre del proyecto,Investigador líder,Rol CI Palmira,Institución ejecutora,Aliados estratégicos,Rol del aliado,Problema abordado,Objetivo del proyecto,Justificación estratégica,Política pública asociada,Metodología principal,Variables evaluadas,"Tipo de intervención (I+D+i, Canales OT, Fortalecimiento)",Resultados principales,Productos generados,Publicaciones,Oferta tecnológica,Tipo de tecnología,TRL inicial,TRL final,Estado tecnológico,Impacto técnico,Impacto económico,Impacto social,Impacto ambiental,Departamentos,Municipios,Tipo de beneficiarios,Beneficiarios directos,Beneficiarios indirectos,Área potenciales de adopción,Activos generados,Estado propiedad intelectual,Financiador,Monto del proyecto,Año inicio,Año final,Estado del proyecto,Capacidad_emergente,Capacidad_consolidada,Capacidad_distintiva
Bioeconomía: Economía circular,Cacao,"Manejo cosecha, poscosecha y transformación","ID: 1002667. Establecimiento de protocolos apropiados de fermentación basados en perfiles sensoriales del cacao en Caldas, Huila y Tolima. ",Jader Rodríguez Cortina,Líder,AGROSAVIA,"Asociaciones de cacaocultores de Caldas, Huila y Tolima: APROCALG, ASOCAGIGANTE, ASOCAPOTRERILLOS, ASOCARECREO, ASOPECA, ASOPROCAR, ASOCACAO, ASOCATES, APROCAPAL, COCOAGRO, ASOPROBEL, ASOVICA, ASOCAMELIAS, AGROCAMUS, ASPRAFAL, ASOCANORA, ASOCANORCA, ASOSEMILLAS DEL CAMPO, ACA SANDIEGO, AMUCCOL, ASOCAT, ASOESTRELLA, ASOPEP, ASOPROLOMAT, ATACONDOR, RENACER LAS BLANCAS, ASAGROLT, ASOACAS, ASOPEROTOL, AGROEMPORTEGA, AMOCAL, APROCAMAITO, APROCASURT, ASOPROSINEV, ASOCATOL, ASOPARAISO ALTAMIRA, ASOPROMECOL, ECOAPROACIM",Beneficiarios,"Baja disponibilidad de protocolos de fermentación enfocados en obtención de cacao de calidad superior en Caldas, Huila y Tolima  ","Desarrollar protocolos de fermentación basados en perfiles sensoriales del cacao de Caldas, Huila y Tolima.","Aumentar la visibilización y valorización comercial del potencial de calidad del cacao regional en Caldas, Huila y Tolima a través de la aplicación de adecuadas prácticas poscosecha","Plan Nacional de Desarrollo, Planes departamentales de Desarrollo, PECTIA y CONPES","Metodología de fermentación espontánea con monitoreo de temperatura y pH, y análisis descriptivo de calidad sensorial en cacao según estándares internacionales COEX y CIRAD, Tipificación agroecológica","Zonas agroecológicas, tiempo de fermentación, temperatura de tostado",I+D+i,"200 Perfiles sensoriales de calidad de 10 zonas agroecológicas en Caldas, Huila y Tolima y recomendaciones de buenas prácticas poscosecha para potenciar la calidad","200 Perfiles sensoriales de calidad de 10 zonas agroecológicas en Caldas, Huila y Tolima, recomendaciones de buenas prácticas poscosecha para potenciar la calidad, protocolos de fermentación, base de datos espacial, mapas agroecológicos",,Protocolos regionales de fermentación para cacao basados en perfiles sensoriales y zonificación agroecológica.,Protocolos,3,6,6,"Estandarización de fermentación y diferenciación sensorial del cacao en 10 zonas agroecológicas en Caldas, Huila y Tolima.",Potencial incremento de ingresos mediante comercialización de cacao diferenciado con perfiles sensoriales demandados por mercados internacionales.,"Beneficio a productores cacaoteros de Caldas, Huila y Tolima mediante fortalecimiento de capacidades para producir cacao diferenciado de calidad superior y de mayor valor comercial.","Promueve manejo poscosecha adaptado a condiciones agroecológicas regionales, favoreciendo uso eficiente de recursos y valorización territorial del cacao.","Caldas, Huila y Tolima","Gigante, Rivera, Tesalia, Ospina Pérez, Belalcazar, Mariquita, Norcasia, Santiago Pérez, Ortega, Chaparral",Asociaciones de cacaocultores y extensionistas,600 productores  y/o asistentes técnicos ,"2.500 beneficiarios: productores, comercializadores, transformadores y actores regionales de la cadena de valor",Zonas cacaoteras en Colombia,Equipos para transformación bean to bar de la minichocolatería de la planta de poscosecha,,Entes Internacionales,992001757,2023,2025,Finalizado,,"Calidad sensorial de cacao
Protocolos de fermentación y secado",
Bioeconomía: Economía circular,Cacao,"Manejo cosecha, poscosecha y transformación",ID: 1002841. Implementación de un modelo para el aprovechamiento integral de las mazorcas de cacao para la generación de productos de valor agregado por medio de alternativas biotecnológicas,Jader Rodríguez Cortina,Líder,AGROSAVIA,Asociación de productores campesinos de Cisneros,Beneficiarios,"Alta generación y subutilización de residuos de mazorca de cacao, causando impactos ambientales y baja valorización en sistemas productivos cacaoteros rurales.","Implementar alternativas biotecnológicas para valorizar residuos de mazorca de cacao mediante compostaje, digestión anaerobia y pirólisis","Fortalece la economía circular y la sostenibilidad rural mediante valorización de residuos, generación de bioinsumos y reducción de impactos ambientales en territorios PDET.","Plan Nacional de Desarrollo, Plan departamental de Desarrollo el Valle del Cauca, y PECTIA ","Pirólisis para producción de biochar, compostaje y digestión anaerobia; caracterización fisicoquímica, diseño experimental de mezclas, análisis multicriterio TOPSIS y evaluación agronómica (Parra et al 2022)","Temperatura, sólidos totales, ácidos grasos volátiles, metales pesados, nutrientes (NPK), acidez, pH, humedad, conductividad eléctrica, carbono orgánico total, sólidos volátiles, nitrógeno total, fósforo total, producción de metano, índice de germinación, biomasa aérea.",I+D+i,"Obtención de biochar, compost y digestato valorizados; implementación de prototipos piloto y validación agronómica de bioinsumos derivados de residuos de cacao.","1 prototipo de reactor anaerobio, 1 protocolo de operación, 1 artículo científico, 1 herramienta multicriterio para la selección de biomasa","Parra-Orobio, B., Rodríguez-Cortina, J., Serna-Jiménez, J., Escobar-Parra, S.,   Santander-Muñoz, M., Martínez-Ruiz, Y.,  Álvarez-Trujillo, J.D., Soto-Paz, J. Hybrid decision-making tool for selecting co-substrates for the energy and agricultural valorization of cacao pod husk residues within a circular economy model.",,Equipos y protocolos,3,6,6,"Implementación piloto de tecnologías biotecnológicas para valorización de residuos, generando bioinsumos y bioproductos con potencial de aplicación agrícola y energética.",Generación de productos de valor agregado y reducción potencial de costos asociados al manejo de residuos y fertilización convencional,"Beneficio a asociaciones cacaoteras rurales PDET y ZOMAC mediante transferencia tecnológica, fortalecimiento comunitario y participación de mujeres, jóvenes y grupos étnicos","Reducción de residuos agrícolas y mitigación de impactos sobre suelo mediante aprovechamiento circular, producción de biofertilizantes y disminución potencial de emisiones GEI",Valle del Cauca,Cisneros,"Asociaciones de cacaocultores y extensionistas, comunidad académica y de investigación",350 productores  y/o asistentes técnicos ,1.800 beneficiarios,Zonas cacaoteras en Colombia,"Sistema de biodigestión Anaerobia escala piloto, zona de compostaje a escala laboratorio",,Entes Nacionales y Territoriales,290000000,2024,2026,En ejecución,,"Valorización de subproductos
Diseño de equipos de poscosecha
 Escalamiento de tecnologías en cacao","Enfoque de bioeconomía en cacao
Desarrollo de oferta tecnológica transferible
Capacidad de convertir ciencia en productos de valor"
Otro,Cacao,"Manejo cosecha, poscosecha y transformación",Idea. 0007950. Estrategia poscosecha para la inocuidad y comercio del cacao colombiano,Margareth Santander,Líder,AGROSAVIA,"IICA, Asociaciones de cacaocultores de Tumaco",Beneficiarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Internacionales,,,,,,,
Bioeconomía: Economía circular,Cacao,"Manejo cosecha, poscosecha y transformación",Idea. 0007978. Bioeconomía en cacao,Margareth Santander,Líder,AGROSAVIA,"CIRAD, Asociaciones de cacaocultores de Caldas y Nariño",Beneficiarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Internacionales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Cacao,Manejo de sistemas productivos,"Proyecto 95883. IMPLEMENTACIÓN DE INNOVACIONES TECNOLÓGICAS BAJO UN MODELO DE ECONOMÍA CIRCULAR, SOCIAL Y SOLIDARIA COMO APORTE A LA SEGURIDAD ALIMENTARIA Y A LA TRANSICIÓN SOSTENIBLE HACIA UN DESARROLLO AGRÍCOLA Y AGROINDUSTRIAL EN 4 MUNICIPIOS DEL DEPARTAMENTO DEL VALLE DEL CAUCA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Economía circular,Cacao,"Manejo cosecha, poscosecha y transformación",ID 001451: SGR Arauca poscosecha ,Jader Rodríguez Cortina,Líder,AGROSAVIA,"Asociaciones de cacaocultores de Arauca: COOMPROCAR, Coopcacao y CABEFAMI, Fedecacao, CIRAD","Beneficiarios, aliados científicos para análisis de calidad, y aliados para trabajo en territorio","Baja innovación tecnológica en productividad, inocuidad, calidad poscosecha y articulación empresarial de la cadena cacaotera en Arauca","Implementar estrategias agroforestales y tecnologías agronómicas y poscosecha para mejorar productividad, inocuidad y calidad del cacao en Arauca.","Fortalece la competitividad del cacao especial mediante innovación tecnológica, sostenibilidad productiva y acceso a mercados diferenciados con mayor valor agregado","Plan Nacional de Desarrollo, Plan departamental de Desarrollo de Arauca, Planes municipales de desarrollo y PECTIA ","Modelización agroforestal, agricultura de precisión, geoeléctrica, geomicrobiología, metabolómica, análisis sensorial, evaluación molecular y validación participativa de tecnologías poscosecha","Temperatura, pH, metabolitos precursores del flavour, metabolitos responsables del flavour, compuestos orgánicos volátiles, atributos sensoriales",I+D+i,"Equipos poscosecha, protocolos de fermentación para obtención de cacao de calidad superior","Planta de bioeconomía en cacao, equipos de valorización poscosecha: Fermentador rotatorio, fermentador tipo biorreactor con control de variables de proceso, secador de alta eficiencia energética, secador por ventana refractiva, publicaciones científicas","Llano, S., Zorro, A., Santander, M., Vaillant, F., Boulanger, R., Ocampo, D. M., & Escobar, S. (2025). Metabolomic insights into flavour precursor dynamics during fermentation of cacao beans cultivated in diverse climatic production zones in colombia. 
Food Research International, 115978. https://doi.org/10.1016/j.foodres.2025.115978
Gonzalez-Orozco, C., Porcel, M., Escobar, S., Bravo, D., Gutierrez Lopez, Y., Yockteng, R., Vaillant, F., Santander, M., Llano, S., Parra, K., Briceño, E., Carmona, J., Torres, S., Contreras, R., Otero, A., Pesca, A., & Carrillo, G. (2023). Cacao (Theobroma cacao L.) climate zones and its associated agrobiodiversity in Arauca, Colombia. Biodiversity Data Journal, 11. https://doi.org/10.3897/BDJ.11.e112771
Llano, S., Vaillant, F., Santander, M., Zorro-González, A., González-Orozco, C. E., Maraval, I., Boulanger, R., & Escobar, S. (2024). Exploring the Impact of Fermentation Time and Climate on Quality of Cocoa Bean-Derived Chocolate: Sensorial Profile and Volatilome Analysis. Foods, 13(16). https://doi.org/10.3390/foods13162614
Quintero, I., Ceccaldi, A., Martínez, H., Santander, M., Rodríguez, J., & Escobar, S. 
Dry cacao pulp in chocolate bars: a sustainable, nutrient-rich sweetener with enhanced sensory quality through refractance windows drying. (2025). Applied Food Research, 5(1). https://doi.org/10.1016/j.afres.2025.100700
Santander, M., Chica, V., Correa, H. A. M., Rodríguez, J., Villagran, E., Vaillant, F., & Escobar, S. (2025). Unravelling cocoa drying technology: a comprehensive review of the influence on flavor formation and quality. Foods, 14(5), 721. 
https://doi.org/10.3390/foods14050721
Santander, M., Leguizamón, L., Vaillant, F., Boulanger, R., Zuluaga, M., Maraval, I., Rodríguez, J., Llano, S., Sommerer, N., Meter, A., Escobar, S., & Meudec, E. (2025). Influence of driven fermentation of cacao in bioreactors on quality: decoding the effect of temperature, mixing, and ph on metabolomic, sensory, and volatile profiles. LWT-Food Science and Technology, 231, 1–12. https://doi.org/doi.org/10.1016/j.lwt.2025.118313
Zuluaga, M., Santander, M., Escobar, S., Vaillant, F. (2025). Metabolomics and peptidomics in cocoa: scientometrics analysis and systematic review of flavor-related chemical compounds in postharvest transformation. Journal of Scientometric Research; 14(3):716-731. https://jscires.org/10.5530/jscires.20251393","1. Cajón compartimentado de madera para fermentación de cacao
2. Fermentador giratorio para tranformación poscosecha de cacao
3. Secador de alta eficiencia energética 
4. Pirolizador",Equipos y protocolos,3,7,7,Mejora de calidad e inocuidad mediante  tecnologías poscosecha estandarizadas,Incremento potencial de ingresos por acceso a mercados de cacao especial con primas superiores a US$1.000 por tonelada.,"Beneficio directo a asociaciones cacaoteras de Arauca mediante fortalecimiento empresarial, transferencia tecnológica y formación de capital humano rural.",Impacto positivo al medio ambiente por uso de energías renovables (solar) en los equipos de varlozación poscosecha,Arauca,"Arauquita, Saravena, Tame y Fortúl",Asociaciones de cacaocultores,480 productores y/o asistentes técnicos ,"3.500  beneficiarios: productores, comercializadores, transformadores y actores regionales de la cadena de cacao en Arauca.",Zonas cacaoteras en Colombia,"Planta de Bioeconomía en cacao, Equipos de valorización poscosecha: Fermentador rotatorio, fermentador tipo biorreactor con control de variables de proceso, secador de alta eficiencia energética, secador por ventana refractiva",,Entes Nacionales y Territoriales,22.000.000,2019,2026,En ejecución,,"Calidad sensorial de cacao
Protocolos de fermentación y secado
Evaluación sensorial y química
Escalamiento de tecnologías en cacao
Diseño de equipos de poscosecha","Desarrollo de oferta tecnológica transferible
Modelos territoriales replicables
Capacidad de convertir ciencia en productos de valor"
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Chontaduro,Manejo ambiental y sostenibilidad,Reducción del riesgo y adaptación al cambio climático_Modelos de adaptación agroclimática (MAPA). Chontaduro (Bactris gasipae),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Chontaduro,"Transf. de tecnologia, asist. técnica e innovación",Gestión del conocimiento para el fortalecimiento productivo de los frutales del Valle del Cauca: Programa integral de Fruticultura PIF. FASE 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Chontaduro,Material de siembra y mejoramiento genético,Programa de fortalecimiento al sistema nacional de semillas producto de la intervención de sistemas locales de semillas: PLAN NACIONAL DE SEMILLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Chontaduro,Manejo de sistemas productivos,Desarrollo de estrategias para la recuperación de los sistemas productivos de Chontaduro (Bactris gasipaes) en sistemas agroforestales en zona rural del distrito de Buenaventura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Coco,Material de siembra y mejoramiento genético,Colección de trabajo de materiales regionales de cocotero como base para repoblamiento y conservación de variabilidad genética.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Otro,Coco,Manejo de sistemas productivos,"Aunar esfuerzos económicos, técnicos, logísticos y humanos para el fortalecimiento del sistema de producción del cocotero en la costa pacífica colombiana a partir de la implementación de las buenas prácticas agrícolas (BPA), transferencia de tecnología en actividades de producción y manejo de viveros en los municipios de Tumaco, el Charco, Francisco Pizarro, La Tola, Mosquera, Santa Bárbara de Iscuande y Olaya Herrera del departamento de Nariño",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Fique,Material de siembra y mejoramiento genético,Bases tecnologicas para el programa de mejoramiento del fique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Fique,Fisiología vegetal y nutrición,Bases tecnologicas para el programa de mejoramiento del fique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Fique,Manejo ambiental y sostenibilidad,"Áreas seleccionadas, especies priorizadas en diferentes regiones y viveros establecidos -Protocolos de producción del material vegetal y establecimiento.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Forestal,Manejo ambiental y sostenibilidad,Establecimientos de arboretums en los centros de investigación utilizando material vegetal producido en el año anterior. RA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Forestal,Manejo ambiental y sostenibilidad,Datos de crecimiento de las especies en cada uno de los arboretums y sus proyecciones frente al comportamiento en otras regiones tradicionales de uso de las mismas. RA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Forestal,Manejo ambiental y sostenibilidad,Materiales nativos e introducidos de especies arbóreas caracterizados y evaluados para uso múltiple. RA: Diana Lucia Correa Moreno ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Forestal,Manejo ambiental y sostenibilidad,Meta: Estudio fenológico y pruebas de germinación preliminares de las especies nativas seleccionadas y priorizadas. RA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Forestal,Manejo ambiental y sostenibilidad,Meta: Protocolos de germinación estandarizados para 5 especies nativas. RA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Forestal,Manejo ambiental y sostenibilidad,Meta: Modelo alométrico preliminar por localidad para la predicción del crecimiento en diámetro y altura de especies forestales en sus primeras fases vegetativas. RA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Forestal,Manejo ambiental y sostenibilidad,Meta: Fichas técnicas de especies forestales caracterizadas y evaluadas para uso múltiple en diferentes zonas agroecológicas. RA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Forestal,Manejo ambiental y sostenibilidad,Proyecto: Evaluación de especies arbustivas y arbóreas para uso múltiple. RA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Forestal,Manejo ambiental y sostenibilidad,Meta: Servicios ecosistémicos de especies forestales. RA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Forestal,Manejo ambiental y sostenibilidad,Meta:  Protocolos de germinación y métodos de dispersión de semillas. RA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
NSA(MPIyS): Sistemas alimentarios regenerativos,Forestal,Manejo de sistemas productivos,Ruta Etnica_Forestales_ Cauca. RA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Guanábana,Material de siembra y mejoramiento genético,Evaluación de clones de promisorios de guanábana para aumentar la oferta de materiales mejorados para el productor agropecuario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Guanábana,"Transf. de tecnologia, asist. técnica e innovación",Plan de Vinculación: Agrosavia Fecunda y Agrosavia Tesoro: dos nuevos cultivares de guanábana como alternativa de producción para los agricultores colombianos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Guanábana,Material de siembra y mejoramiento genético,Agrosavia Fecunda y Agrosavia Tesoro: dos nuevos cultivares de guanábana como alternativa de producción para los agricultores colombianos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Guayaba,Material de siembra y mejoramiento genético,Nuevas variedades y materiales promisorios de guayaba identificadas para Colombia con potencial de rendimiento y calidad nutricional e industrial.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Guayaba,Material de siembra y mejoramiento genético,"Ofertas varietales de guayaba generadas para Colombia con potencial productivo para el consumo fresco e industrial (Valle del Cauca, Santander, Boyacá, Meta, Eje Cafetero, Tolima y Caribe).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Guayaba,Material de siembra y mejoramiento genético,Estudio de la adaptación de cultivares comerciales y regionales de guayaba para uso industrial y consumo en fresco en diferentes zonas agroecológicas de Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Guayaba,Material de siembra y mejoramiento genético,Material de siembra con calidad de las Variedades de guayaba AGROSAVIA Carmín 0328 y AGROSAVIA Rosa-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo de sistemas productivos,"Producto Parcial 25. Fase 1: Lotes experimentales seleccionados y aplicada primera poda de producción, para validación del manejo de la estacionalidad de la producción en guayaba.   Lider: Diana Lucia Correa Moreno",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo de sistemas productivos,"Técnicas  validadas para el manejo de estacionalidad en guayaba a través de plan de podas, fertilización y riego. Fase 2: Primer ciclo de evaluación. Fase 3: Segundo ciclo de evaluación. Valle - Santander.  Lider: Diana Lucia Correa Moreno",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo de sistemas productivos,Densidades de siembra adecuadas a zonas agroecológicas y a variedades regionales de guayaba determinadas.   Santander.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo de sistemas productivos,"Planes de fertilización en fase de establecimiento, en cultivos de Guayaba evaluados.  Lider: Diana Lucia Correa Moreno",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo ambiental y sostenibilidad,Estrategias para la producción sostenible de guayaba en zonas productoras de Colombia.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo de suelos y aguas,Meta 0 (Fase 1:  2018 – 2019). Análisis preliminar de extracción de nutrientes en guayaba.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo de suelos y aguas,Meta 1 (Fase 2:  2019 – 2020). Línea base extracción de nutrientes y rangos de suficiencia estimados para ajuste de fertilización en cultivos tecnificados de guayaba.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo ambiental y sostenibilidad,"Meta 2 (Fase 3:  2023 – 2025). Prácticas de manejo integral de la fertilidad (Química, física y biológica) y provisión de servicios ecosistémicos en cultivos de guayaba evaluadas. Fases Establecimiento y Producción.  Lider: Diana Lucia Correa Moreno",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Fisiología vegetal y nutrición,Fertilización bajo manejo  de la nutrición por sitio especifico (MNSE) evaluada y validada para el mejoramiento de la productividad en cultivos tecnificados de guayaba.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo ambiental y sostenibilidad,Zonas potenciales para el sistema de producción de guayaba con enfoque territorial y adaptación del cultivo.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo ambiental y sostenibilidad,Sistema de información experto (SE) para los sistemas de producción de la guayaba.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Material de siembra y mejoramiento genético,Tecnologías para la producción de plántulas de guayaba en vivero.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo de sistemas productivos,Modelo de estrategias generado para la producción sostenible de guayaba  basado en criterios de planificación y manejo agronómico del cultivo.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Fisiología vegetal y nutrición,Sistema de información de índices espectrales de vegetación asociados a estrés abiótico en cultivos de guayaba (Psidium guajava).  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Lima Acida Tahití,Manejo de suelos y aguas,Convenio 1991. Piloto Tecnológico Análisis Tecnologías Precisión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Internacionales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Lima Acida Tahití,Manejo de suelos y aguas,"Convenio 2217. Agricultura tropical 4,0: Uso eficiente del agua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Internacionales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Lima Acida Tahití,Fisiología vegetal y nutrición,Convenio S421. Validación de un sensor tipo dendrómetro para fruto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sector privado,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Lima Acida Tahití,Material de siembra y mejoramiento genético,Recomendaciones de  uso para  patrones de  lima ácida Tahití en diferentes zonas del país entregadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Lima Acida Tahití,Manejo de suelos y aguas,Desarrollo de los modelos productivos regionales de cítricos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
